CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Street,Supervisor District,Neighborhood,Police District,Latitude,Longitude,Point,Source,Media URL,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,DELETE - Supervisor Districts,DELETE - Fire Prevention Districts,DELETE - Current Police Districts,DELETE - Zip Codes,DELETE - Police Districts,DELETE - Neighborhoods,DELETE - Neighborhoods_from_fyvs_ahh9,DELETE - 2017 Fix It Zones,DELETE - SF Find Neighborhoods,Civic Center Harm Reduction Project Boundary,DELETE - Current Supervisor Districts,Fix It Zones as of 2017-11-06 ,Invest In Neighborhoods (IIN) Areas,DELETE - HSOC Zones,Fix It Zones as of 2018-02-07,"CBD, BID and GBD Boundaries as of 2017",Central Market/Tenderloin Boundary,"Areas of Vulnerability, 2016",Central Market/Tenderloin Boundary Polygon - Updated,HSOC Zones as of 2018-06-05,OWED Public Spaces,Parks Alliance CPSI (27+TL sites),Neighborhoods
11866530,12/27/2019 12:10:00 PM,05/15/2020 09:31:24 AM,05/15/2020 09:31:24 AM,Closed,Case Resolved - not missing tree it is a landscape plot,DPW Ops Queue,Tree Maintenance,Trees - Tree_Other,Other,"118 DOLORES ST, SAN FRANCISCO, CA, 94103",DOLORES ST,8,Mission Dolores,MISSION,37.767568034096,-122.426817717513,"(37.76756803, -122.42681772)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866530/photos,37,3,5,5,5,8,7,28862,4,3,3,,37,,5,,,,,,,1,,5,,,37
10660335,03/29/2019 09:25:00 AM,,07/15/2020 01:25:29 AM,Open,accepted,DPW BSM Queue,Sidewalk or Curb,Sidewalk_Defect,Collapsed_sidewalk,"354 DOLORES ST, SAN FRANCISCO, CA, 94110",DOLORES ST,8,Mission Dolores,MISSION,37.763729095459,-122.426559448242,"(37.7637291, -122.42655945)",Phone,,37,3,5,5,5,8,7,28859,4,3,3,,37,,5,,,,,,,1,,5,,,37
11866573,12/27/2019 12:17:00 PM,12/27/2019 01:11:00 PM,12/27/2019 01:11:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,General Cleaning,Other Loose Garbage,"601 CAPP ST, SAN FRANCISCO, CA, 94110",CAPP ST,9,Mission,MISSION,37.757046161285,-122.417728823098,"(37.75704616, -122.41772882)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866573/photos,53,3,2,20,7,2,7,28859,4,19,19,13,53,,2,15,,3,15,,,2,,3,,,53
11866564,12/27/2019 12:16:11 PM,12/27/2019 05:07:49 PM,12/27/2019 05:07:49 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Mattress,"1035 BUSH ST, SAN FRANCISCO, CA, 94109",BUSH ST,3,Lower Nob Hill,CENTRAL,37.78924589,-122.41427466,"(37.78924589, -122.41427466)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866564/photos,50,6,3,21,10,5,1,28858,1,21,21,,50,,3,,,,,,,2,,,,,50
11866562,12/27/2019 12:15:45 PM,12/27/2019 04:02:38 PM,12/27/2019 04:02:38 PM,Closed,Case Resolved - Pickup completed.                                 Other; Other;,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"26 6TH ST, SAN FRANCISCO, CA, 94103",6TH ST,6,South of Market,TENDERLOIN,37.781712440809,-122.409893106783,"(37.78171244, -122.40989311)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866562/photos,32,5,10,34,9,14,2,28853,2,34,34,17,32,1,10,18,14,1,18,7,1,2,1,1,,,32
10367141,01/16/2019 10:59:21 PM,03/15/2021 12:29:00 PM,03/15/2021 12:29:00 PM,Closed,Case Resolved,DPW Ops Queue,Tree Maintenance,Trees - Damaged_Tree,Damaged_vandalism,"1440 TARAVAL ST, SAN FRANCISCO, CA, 94116",TARAVAL ST,4,Parkside,TARAVAL,37.742835,-122.481777,"(37.742835, -122.481777)",Mobile/Open311,http://mobile311.sfgov.org/reports/10367141/photos,40,10,7,35,3,1,5,29491,8,35,35,,40,,7,25,,,24,,,1,,,,,40
11866557,12/27/2019 12:15:06 PM,12/27/2019 12:15:09 PM,12/27/2019 12:15:09 PM,Closed,Comment Noted - The report has been logged and will help the City collect data on double parking and bike lane violations to determine target areas and future enforcement efforts. Thank you.,Parking Enforcement Review Queue,Parking Enforcement,Blocking_Bicycle_Lane,Parking Enforcement,"2272 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,8,Duboce Triangle,MISSION,37.764847255347,-122.432601023579,"(37.76484726, -122.43260102)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866557/photos,28,7,5,5,5,15,8,28862,5,3,3,,28,,5,,12,5,,9,,1,,5,,,28
11866535,12/27/2019 12:10:00 PM,12/27/2019 01:02:19 PM,12/27/2019 01:02:19 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of INGALLS ST and REVERE AVE,INGALLS ST,10,Bayview,BAYVIEW,37.728485107422,-122.384559631348,"(37.72848511, -122.38455963)",Phone,,86,2,9,1,8,10,3,58,3,1,1,,86,,9,,,,,,,2,,,,,86
13041033,10/19/2020 11:13:00 AM,,10/19/2020 11:27:04 AM,Open,,County Clerk - Vital Records,General Request - COUNTY CLERK,customer_callback,vital_records - customer_callback,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12353212,04/24/2020 08:13:00 AM,08/28/2020 08:59:00 AM,08/28/2020 08:59:00 AM,Closed,Case Resolved,SFMTA - Parking Enforcement - G,Rec and Park Requests,Park - Park_Patrol,Park_Rules_Violation,"948 KEY AVE, SAN FRANCISCO, CA, 94124",KEY AVE,10,Bret Harte,BAYVIEW,37.72065,-122.39741333,"(37.72065, -122.39741333)",Mobile/Open311,http://mobile311.sfgov.org/reports/12353212/photos,88,2,9,1,8,10,3,58,3,1,1,,88,,9,,,,,,,2,,,,,88
11106306,07/09/2019 05:19:00 PM,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,Closed,Case Resolved - 7/12/19 per inspection conditions found cracked  damaged utility vault cover  - X1104: 1173694 AT&T,DPW BSM Queue,General Request - PUBLIC WORKS,request_for_service,dpw_other - request_for_service,"865 LAGUNA ST, SAN FRANCISCO, CA, 94102",LAGUNA ST,5,Western Addition,NORTHERN,37.7789124,-122.4269492,"(37.7789124, -122.4269492)",Web,,97,4,11,39,11,7,6,28852,9,41,41,,97,,11,,,,,,,2,,,,,97
11866615,12/27/2019 12:23:00 PM,12/27/2019 05:00:42 PM,12/27/2019 05:00:42 PM,Closed,Case is Invalid - Requests related to the concern or well-being of individuals not in an encampment are not handled by 311.,HSOC Individual Queue,Encampments,Encampment Reports,Encampment Cleanup,"2 FOLSOM ST, SAN FRANCISCO, CA, 94105",FOLSOM ST,6,Financial District,SOUTHERN,37.790869585484,-122.390010363389,"(37.79086959, -122.39001036)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866615/photos,108,1,10,8,9,6,2,28855,2,6,6,,108,,10,,,,,,,1,,,,,108
11866609,12/27/2019 12:22:00 PM,12/27/2019 06:25:04 PM,12/27/2019 06:25:04 PM,Closed,Case Resolved - Duplicate Complaint. - Duplicate Complaint.,DPW BSM Queue,Graffiti,Graffiti on Other_enter_additional_details_below,Other_enter_additional_details_below - Offensive,"3048 FILLMORE ST, SAN FRANCISCO, CA, 94123",FILLMORE ST,2,Union Street,NORTHERN,37.797794705219,-122.435510279175,"(37.79779471, -122.43551028)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866609/photos,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
11866603,12/27/2019 12:21:22 PM,12/27/2019 03:35:35 PM,12/27/2019 03:35:35 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of GREEN ST and WEBSTER ST,GREEN ST,2,Union Street,NORTHERN,37.796381206842,-122.433671668394,"(37.79638121, -122.43367167)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866603/photos,15,4,6,13,1,13,6,57,9,17,17,,15,,6,,,,,,,1,,,,,15
11866595,12/27/2019 12:20:00 PM,12/27/2019 06:46:57 PM,12/27/2019 06:46:57 PM,Closed,Case Resolved - WASTE NOT FOUND,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of HICKORY ST and FRANKLIN ST,HICKORY ST,5,Civic Center,NORTHERN,37.775695800781,-122.421051025391,"(37.7756958, -122.42105103)",Phone,,21,4,11,9,11,7,6,28852,9,10,10,,21,1,11,,,1,,8,,1,,1,,,21
11866617,12/27/2019 12:23:19 PM,05/15/2020 11:35:40 AM,05/15/2020 11:35:40 AM,Closed,Case Resolved - case is resolved,DPT SignShop Queue,Sign Repair,Sign - Defaced,Other_Parking_Type - Defaced; support - OK,Intersection of FILLMORE ST and VALLEJO ST,FILLMORE ST,2,Pacific Heights,NORTHERN,37.795155,-122.43509667,"(37.795155, -122.43509667)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866617/photos,102,4,6,30,1,13,6,29490,9,27,27,,102,,6,,,,,,,1,,,,,102
12611054,07/04/2020 02:28:04 PM,08/28/2020 02:45:00 PM,08/28/2020 02:45:00 PM,Closed,"Case Resolved - Left message for customer to see if issues persists.
Thank you for bringing this matter to our attention. For all noise issues, we try our best to accommodate the needs of San Francisco citizens by making adjustments when possible. Details such as time, description of the truck, truck #, service address(es), service the truck is providing, etc. can help us pinpoint the cause and driver(s). 
 
In the effort to continue uninterrupted service while planning, preparing, and responding to the Coronavirus outbreak, you may experience an earlier than normal collection times. Recology has instituted staggered work shifts for our employees to minimize large gatherings as recommended by the Center for Disease Control and Prevention. We apologize for the early noise and appreciate your understanding. 
 
Also, all Recology trucks operate under the permitted 75 dBA. per the SFDPH 4.2 Police Code Article 29, Section 2904, Waste Disposal Services, ""There are no limits on noise associated with refuse truck operation, such as noise from crushing, compacting, dropping, or moving waste…It is often necessary that these trucks operate early in the morning on very specific routes that may not be adjustable.""",Recology_Noise,Noise Report,garbage_recycling_collection,Noise Report - garbage_recycling_collection,"1200 HYDE ST, SAN FRANCISCO, CA, 94109",HYDE ST,3,Nob Hill,CENTRAL,37.7920887,-122.4174816,"(37.7920887, -122.4174816)",Web,,16,6,3,21,10,5,1,28858,1,21,21,,16,,3,,,,,,,1,,,,,16
12564376,06/23/2020 12:08:00 PM,09/02/2020 10:47:00 AM,09/02/2020 10:47:00 AM,Closed,"Case Resolved - DUE TO THE COVID-19  AND STREET CLEANING DETAIL STAFF SHORTAGE MANPOWER THE POSTED STREET CLEANING MAY NOT RESUME REGULARLY AS POSTED FOR THE TIME BEING, BUT THE SWEEPER WILL STILL SWEEP THE STREET AS THE STREET CLEANING IS POSTED.
AS WE CONTINUE IN THE NEXT PHASES ENFORCEMENT WILL RESUME EVENTUALLY TO REGULAR STREET CLEANING OF FULL ENFORCEMENT.",SFMTA - Parking Enforcement - G,General Request - MTA,complaint,parking_enforcement - complaint,Intersection of 27TH ST and DOLORES ST,27TH ST,8,Noe Valley,INGLESIDE,37.747032165527,-122.424690246582,"(37.74703217, -122.42469025)",Phone,,84,9,5,22,5,2,4,63,7,22,22,,84,,5,,,,,,,1,,,,,84
5355174,12/08/2015 09:05:40 AM,12/22/2015 02:02:17 PM,12/22/2015 02:02:17 PM,Closed,Case Transferred,SSP - MTA Feedback Queue,MUNI Feedback,MUNI  - Conduct_Inattentiveness_Negligence,205_Offroute_Did_Not_Complete_Route,Not associated with a specific address,,,,,0,0,"(0.0, 0.0)",Web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11866651,12/27/2019 12:28:00 PM,12/27/2019 01:21:43 PM,12/27/2019 01:21:43 PM,Closed,Case Resolved - Officer responded to request under CAD # 193611568.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,Silver - Honda Civic - 8EZY024,"1029 NATOMA ST, SAN FRANCISCO, CA, 94103",NATOMA ST,6,South of Market,SOUTHERN,37.77307768,-122.41648567,"(37.77307768, -122.41648567)",Phone,,32,1,10,20,9,8,2,28853,2,19,19,,32,1,10,,,1,,,1,2,1,1,,,32
11866625,12/27/2019 12:24:00 PM,12/27/2019 01:51:00 PM,12/27/2019 01:51:00 PM,Closed,"Case Resolved - this has nothing to do with Water dept. The leak is on private property. Any water leaks PAST the water meter will result in higher bills and are the responsibility of the property owner, not the city. Customer needs a plumber to fix the leak as this would be on property owner's property",311 Supervisor Queue,Sewer Issues,Water_leak,Other,"1620 DAVIDSON AVE, SAN FRANCISCO, CA, 94124",DAVIDSON AVE,10,Central Waterfront,BAYVIEW,37.746204376221,-122.39217376709,"(37.74620438, -122.39217377)",Phone,,56,2,9,1,8,10,3,58,3,1,1,,56,,9,,,,,,,1,,,,,56
11866623,12/27/2019 12:23:58 PM,12/27/2019 03:35:29 PM,12/27/2019 03:35:29 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Furniture,Intersection of BROADWAY and FILLMORE ST,BROADWAY,2,Pacific Heights,NORTHERN,37.794288489989,-122.434925173564,"(37.79428849, -122.43492517)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866623/photos,102,4,6,30,1,13,6,29490,9,27,27,,102,,6,,,,,,,1,,,,,102
11866632,12/27/2019 12:24:00 PM,05/15/2020 11:34:59 AM,05/15/2020 11:34:59 AM,Closed,Case Resolved - case is resolved,DPT SignShop Queue,Graffiti,Graffiti on Sign,Sign - Offensive,"2411 FILLMORE ST, SAN FRANCISCO, CA, 94115",FILLMORE ST,2,Pacific Heights,NORTHERN,37.791855,-122.43443333,"(37.791855, -122.43443333)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866632/photos,102,4,6,30,1,13,6,29490,9,27,27,,102,,6,,,,,,,1,,,,,102
12624673,07/07/2020 10:28:00 PM,08/28/2020 02:49:00 PM,08/28/2020 02:49:00 PM,Closed,"Case Resolved - Thank you for bringing this matter to our attention. For all noise issues, we try our best to accommodate the needs of San Francisco citizens by making adjustments when possible. Details such as time, description of the truck, truck #, service address(es), service the truck is providing, etc. can help us pinpoint the cause and driver(s). 
ECHO is on.
In the effort to continue uninterrupted service while planning, preparing, and responding to the Coronavirus outbreak, you may experience an earlier than normal collection times. Recology has instituted staggered work shifts for our employees to minimize large gatherings as recommended by the Center for Disease Control and Prevention. We apologize for the early noise and appreciate your understanding. 
ECHO is on.
Also, all Recology trucks operate under the permitted 75 dBA. per the SFDPH 4.2 Police Code Article 29, Section 2904, Waste Disposal Services, ""There are no limits on noise associated with refuse truck operation, such as noise from crushing, compacting, dropping, or moving waste…It is often necessary that these trucks operate early in the morning on very specific routes that may not be adjustable.""",Recology_Noise,Noise Report,delivery_service_business,Noise Report - delivery_service_business,"1244 HARRISON ST, SAN FRANCISCO, CA, 94103",HARRISON ST,6,South of Market,SOUTHERN,37.7735669,-122.4092855,"(37.7735669, -122.4092855)",Mobile/Open311,,32,1,10,34,9,8,2,28853,2,34,34,,32,,10,,,,,,,2,,,,,32
12625277,07/08/2020 08:35:00 AM,09/01/2020 08:11:00 AM,09/01/2020 08:11:00 AM,Closed,"Case Resolved - DUE TO THE COVID-19 AND STAFF SHORTAGE MANPOWER  CAUSED RESPONSE DELAY.
FOR SAME DAY ENFORCEMENT CONTACT (415)553-1200 PROMPT (7)",SFMTA - Parking Enforcement - G,Parking Enforcement,Other_Illegal_Parking,White - Porsha - 8FYB461,"55 POLK ST, SAN FRANCISCO, CA, 94102",POLK ST,6,Civic Center,NORTHERN,37.77716854,-122.41810956,"(37.77716854, -122.41810956)",Phone,,21,4,10,36,9,7,6,28852,9,36,36,,21,1,10,,,1,,8,1,2,1,1,,,21
11866712,12/27/2019 12:36:28 PM,12/27/2019 02:24:01 PM,12/27/2019 02:24:01 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Electronics,Intersection of ADELE CT and JACKSON ST,ADELE CT,3,Chinatown,CENTRAL,37.795719082421,-122.409550710701,"(37.79571908, -122.40955071)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866712/photos,104,6,3,6,10,3,1,308,1,4,4,5,104,,3,5,,,5,,,2,,,,,104
11866702,12/27/2019 12:35:07 PM,12/27/2019 01:01:15 PM,12/27/2019 01:01:15 PM,Closed,"Encampment Removed
Duplicate ticket #11859476",HSOC Queue,Encampments,Encampment Reports,Encampment Cleanup,"568 5TH ST, SAN FRANCISCO, CA, 94107",5TH ST,6,South of Market,SOUTHERN,37.7768732,-122.3991364,"(37.7768732, -122.3991364)",Web,http://mobile311.sfgov.org/reports/11866702/photos,32,1,10,34,9,14,2,28856,2,34,34,,32,,10,,,,,,,2,,,,,32
11866706,12/27/2019 12:35:00 PM,12/27/2019 01:37:18 PM,12/27/2019 01:37:18 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,"505 LAGUNA ST, SAN FRANCISCO, CA, 94102",LAGUNA ST,5,Hayes Valley,NORTHERN,37.775882720947,-122.426284790039,"(37.77588272, -122.42628479)",Phone,,22,4,11,9,11,7,6,28852,9,10,10,,22,,11,,,,,,,1,,,,,22
11866708,12/27/2019 12:35:00 PM,12/27/2019 03:26:45 PM,12/27/2019 03:26:45 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"2235 MARKET ST, SAN FRANCISCO, CA, 94114",MARKET ST,8,Castro,MISSION,37.765219998581,-122.431627549345,"(37.76522, -122.43162755)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866708/photos,38,3,5,5,5,15,7,28862,4,3,3,,38,,5,,,5,,9,,1,,5,,,38
11866700,12/27/2019 12:34:48 PM,12/27/2019 02:50:05 PM,12/27/2019 02:50:05 PM,Closed,Case Resolved - Pickup completed.,Recology_Abandoned,Street and Sidewalk Cleaning,Bulky Items,Boxed or Bagged Items,Intersection of GREAT HWY and RIVERA ST,GREAT HWY,4,Outer Sunset,TARAVAL,37.745391109259,-122.507737105675,"(37.74539111, -122.50773711)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866700/photos,39,10,7,35,3,1,5,29491,8,35,35,,39,,7,,,,,,,1,,,,,39
11866694,12/27/2019 12:34:00 PM,12/27/2019 12:55:00 PM,12/27/2019 12:55:00 PM,Closed,Case Resolved,DPW Ops Queue,Street and Sidewalk Cleaning,Hazardous Materials,Glass,"1559 31ST AVE, SAN FRANCISCO, CA, 94122",31ST AVE,4,Outer Sunset,TARAVAL,37.758151106804,-122.489550019092,"(37.75815111, -122.48955002)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866694/photos,39,10,7,35,3,1,5,56,8,35,35,,39,,7,,,,,,,1,,,,,39
11866673,12/27/2019 12:31:00 PM,12/27/2019 01:30:10 PM,12/27/2019 01:30:10 PM,Closed,Case Resolved - Officer responded to request under CAD # 193611592.  Citation was issued.,Parking Enforcement Dispatch Queue,Parking Enforcement,Blocking_Driveway_Cite_Only,Silver/gray - Prius -Toyota - 8DNV413,"779 19TH AVE, SAN FRANCISCO, CA, 94121",19TH AVE,1,Outer Richmond,RICHMOND,37.773294868086,-122.477972433193,"(37.77329487, -122.47797243)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866673/photos,8,8,4,29,2,11,9,55,6,26,26,,8,,4,,,,,,,1,,,,,8
11866715,12/27/2019 12:36:46 PM,01/08/2020 02:17:00 PM,01/08/2020 02:17:00 PM,Closed,Case Resolved,DPW - Bureau of Street Environmental Services - G,General Request - PUBLIC WORKS,request_for_service,bses - request_for_service,Intersection of GARCES DR and VIDAL DR,GARCES DR,7,Parkmerced,TARAVAL,37.716129063001,-122.485235996931,"(37.71612906, -122.485236)",Mobile/Open311,http://mobile311.sfgov.org/reports/11866715/photos,43,10,8,16,4,1,5,64,8,14,14,,43,,8,,,,,,,2,,,,,43
12335659,04/18/2020 04:01:00 PM,04/24/2020 08:03:00 AM,04/24/2020 08:03:00 AM,Closed,Case Resolved - Emailed link to essential business no parking zone.,SFMTA - Livable Streets Queue,General Request - PUBLIC WORKS,request_for_service,bsm - request_for_service,"536 DIVISADERO ST, SAN FRANCISCO, CA, 94117",DIVISADERO ST,5,Alamo Square,NORTHERN,37.774588472598,-122.43758203352,"(37.77458847, -122.43758203)",Mobile/Open311,http://mobile311.sfgov.org/reports/12335659/photos,23,4,11,9,11,15,8,29492,5,10,10,,23,,11,,,,,,,1,,,,,23
10311343,01/03/2019 02:22:42 PM,06/03/2020 08:30:40 PM,06/03/2020 08:30:40 PM,Closed,Administrative Closure - Administrative closure by Public Works,DPW Ops Queue,Graffiti,Graffiti on Building_other,Building_other - Not_Offensive,"80 DUBOCE AVE, SAN FRANCISCO, CA, 94103",DUBOCE AVE,9,South of Market,MISSION,37.770023345947,-122.421821594238,"(37.77002335, -122.42182159)",Integrated Agency,,32,1,2,20,7,8,2,28853,2,19,19,,32,,2,,,,,,,2,,,,,32
